execution_id,location_name,location_code,region,country,lat,lon,tz_id,localtime_epoch,localtime,temp_c,temp_f,feels_like_c,feels_like_f,humidity,wind_kph,wind_mph,wind_degree,wind_dir,gust_kph,gust_mph,pressure_mb,pressure_in,precip_mm,precip_in,cloud,uv,vis_km,vis_miles,is_day,condition_text,condition_icon,condition_code,aqi_us,aqi_gb,pm2_5,pm10,co,no2,o3,so2,last_updated,extract_time
EXT_20251125_001,Hà Nội,HN,Miền Bắc,Vietnam,21.0333,105.8500,Asia/Bangkok,1764074465,2025-11-25 19:41,19.4,66.9,19.4,66.9,60,10.8,6.7,56,ENE,20.6,12.8,1019.0,30.09,0.0,0.00,0,0.0,10.0,6.0,0,"Clear","https://cdn.weatherapi.com/weather/64x64/night/113.png",1000,2,2,23.35,24.15,342.85,4.25,113.00,14.85,2025-11-25 19:30,2025-11-25 19:42:25
EXT_20251125_001,Hải Phòng,HP,Miền Bắc,Vietnam,20.8561,106.6822,Asia/Bangkok,1764074484,2025-11-25 19:41,19.3,66.7,19.3,66.7,61,7.2,4.5,84,E,13.7,8.5,1020.0,30.11,0.0,0.00,6,0.0,10.0,6.0,0,"Clear","https://cdn.weatherapi.com/weather/64x64/night/113.png",1000,2,2,21.15,21.65,346.85,7.95,105.00,16.75,2025-11-25 19:30,2025-11-25 19:42:25
EXT_20251125_001,Hạ Long,QN,Miền Bắc,Vietnam,21.2333,106.9000,Asia/Bangkok,1764074457,2025-11-25 19:40,16.6,62.0,16.6,62.0,63,3.6,2.2,19,NNE,6.0,3.8,1020.0,30.12,0.0,0.00,6,0.0,10.0,6.0,0,"Clear","https://cdn.weatherapi.com/weather/64x64/night/113.png",1000,2,2,23.25,23.95,257.85,4.65,110.00,18.35,2025-11-25 19:30,2025-11-25 19:42:26
EXT_20251125_001,Bắc Ninh,BNI,Miền Bắc,Vietnam,21.1833,106.0500,Asia/Bangkok,1764074485,2025-11-25 19:41,19.4,66.9,19.4,66.9,60,12.6,7.8,36,NE,26.5,16.4,1019.0,30.09,0.0,0.00,0,0.0,10.0,6.0,0,"Clear","https://cdn.weatherapi.com/weather/64x64/night/113.png",1000,2,3,25.15,25.85,259.85,4.85,113.00,23.15,2025-11-25 19:30,2025-11-25 19:42:26
EXT_20251125_001,Hải Dương,HD,Miền Bắc,Vietnam,20.9333,106.3167,Asia/Bangkok,1764074443,2025-11-25 19:40,19.4,66.9,19.4,66.9,60,7.6,4.7,92,E,11.9,7.4,1019.0,30.09,0.0,0.00,0,0.0,10.0,6.0,0,"Clear","https://cdn.weatherapi.com/weather/64x64/night/113.png",1000,2,2,21.15,21.65,385.85,7.95,105.00,16.75,2025-11-25 19:30,2025-11-25 19:42:26
EXT_20251125_001,Hưng Yên,HY,Miền Bắc,Vietnam,20.5410,105.9140,Asia/Bangkok,1764074472,2025-11-25 19:41,19.4,66.9,19.4,66.9,60,8.6,5.4,48,NE,16.0,9.9,1019.0,30.09,0.0,0.00,0,0.0,10.0,6.0,0,"Clear","https://cdn.weatherapi.com/weather/64x64/night/113.png",1000,2,3,24.35,24.75,313.85,7.45,117.00,19.75,2025-11-25 19:30,2025-11-25 19:42:27
EXT_20251125_001,Phủ Lý,HNA,Miền Bắc,Vietnam,20.5410,105.9140,Asia/Bangkok,1764074486,2025-11-25 19:41,19.4,66.9,19.4,66.9,60,8.6,5.4,48,NE,16.0,9.9,1019.0,30.09,0.0,0.00,0,0.0,10.0,6.0,0,"Clear","https://cdn.weatherapi.com/weather/64x64/night/113.png",1000,2,3,24.35,24.75,313.85,7.45,117.00,19.75,2025-11-25 19:30,2025-11-25 19:42:27
EXT_20251125_001,Nam Định,ND,Miền Bắc,Vietnam,20.4167,106.1667,Asia/Bangkok,1764074486,2025-11-25 19:41,20.2,68.3,20.2,68.3,56,9.0,5.6,53,NE,16.5,10.2,1019.0,30.10,0.0,0.00,7,0.0,10.0,6.0,0,"Clear","https://cdn.weatherapi.com/weather/64x64/night/113.png",1000,2,3,24.35,24.75,313.85,7.45,117.00,19.75,2025-11-25 19:30,2025-11-25 19:42:27
EXT_20251125_001,Thái Bình,TB,Miền Bắc,Vietnam,20.4500,106.3330,Asia/Bangkok,1764074473,2025-11-25 19:41,20.6,69.1,20.6,69.1,57,9.7,6.0,78,ENE,16.4,10.2,1019.0,30.10,0.0,0.00,6,0.0,10.0,6.0,0,"Clear","https://cdn.weatherapi.com/weather/64x64/night/113.png",1000,2,2,22.55,22.95,354.85,8.25,109.00,23.05,2025-11-25 19:30,2025-11-25 19:42:27
EXT_20251125_001,Ninh Bình,NB,Miền Bắc,Vietnam,20.2539,105.9750,Asia/Bangkok,1764074467,2025-11-25 19:41,20.1,68.2,20.1,68.1,56,8.6,5.4,48,NE,16.0,9.9,1019.0,30.10,0.0,0.00,7,0.0,10.0,6.0,0,"Clear","https://cdn.weatherapi.com/weather/64x64/night/113.png",1000,2,3,24.35,24.75,313.85,7.45,117.00,19.75,2025-11-25 19:30,2025-11-25 19:42:28
EXT_20251125_001,Vĩnh Yên,VP,Miền Bắc,Vietnam,21.3100,105.5970,Asia/Bangkok,1764074467,2025-11-25 19:41,19.4,66.9,19.4,66.9,60,4.0,2.5,96,E,8.3,5.2,1019.0,30.09,0.0,0.00,0,0.0,10.0,6.0,0,"Clear","https://cdn.weatherapi.com/weather/64x64/night/113.png",1000,2,2,22.75,23.95,256.85,4.55,114.00,16.55,2025-11-25 19:30,2025-11-25 19:42:28
EXT_20251125_001,Bắc Giang,BG,Miền Bắc,Vietnam,21.2667,106.2000,Asia/Bangkok,1764074469,2025-11-25 19:41,19.4,66.9,19.4,66.9,60,12.6,7.8,36,NE,26.5,16.4,1019.0,30.09,0.0,0.00,0,0.0,10.0,6.0,0,"Clear","https://cdn.weatherapi.com/weather/64x64/night/113.png",1000,2,3,25.15,25.85,259.85,4.85,113.00,23.15,2025-11-25 19:30,2025-11-25 19:42:28
EXT_20251125_001,Việt Trì,PT,Miền Bắc,Vietnam,21.3020,105.4310,Asia/Bangkok,1764074446,2025-11-25 19:40,19.4,66.9,19.4,66.9,60,4.0,2.5,96,E,8.3,5.2,1019.0,30.09,0.0,0.00,0,0.0,10.0,6.0,0,"Clear","https://cdn.weatherapi.com/weather/64x64/night/113.png",1000,2,2,22.75,23.95,256.85,4.55,114.00,16.55,2025-11-25 19:30,2025-11-25 19:42:29
EXT_20251125_001,Thái Nguyên,TN,Miền Bắc,Vietnam,21.5930,105.8440,Asia/Bangkok,1764074488,2025-11-25 19:41,19.4,66.9,19.4,66.9,60,6.8,4.3,50,NE,14.4,8.9,1019.0,30.09,0.0,0.00,0,0.0,10.0,6.0,0,"Clear","https://cdn.weatherapi.com/weather/64x64/night/113.png",1000,2,2,20.75,21.65,262.85,2.95,107.00,10.75,2025-11-25 19:30,2025-11-25 19:42:29
EXT_20251125_001,Lạng Sơn,LS,Miền Bắc,Vietnam,21.8330,106.7330,Asia/Bangkok,1764074488,2025-11-25 19:41,14.4,57.9,14.4,58.0,66,6.5,4.0,31,NNE,13.6,8.5,1021.0,30.14,0.0,0.00,4,0.0,10.0,6.0,0,"Clear","https://cdn.weatherapi.com/weather/64x64/night/113.png",1000,2,2,21.15,22.25,372.85,2.15,108.00,11.55,2025-11-25 19:30,2025-11-25 19:42:29
